,reply_settings,text,idleft,source,created_at,edit_history_tweet_ids,conversation_id,lang,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,in_reply_to_user_id,geo.place_id,geo.coordinates.type,geo.coordinates.coordinates,type,idright
6383,mentionedUsers,"RT @minsaude: Faça como o Gabigol: para ser um campeão é preciso proteção. Pais ou responsáveis, levem seus filhos para vacinar contra a po…",1602988704984875010,Twitter for iPhone,2022-12-14T11:27:44.000Z,['1602988704984875010'],1602988704984875010,pt,1047341764280045568,3330,0,0,0,,,,,retweeted,1597676155414642688
6384,everyone,"🟠VACINEM as CRIANÇAS contra a Paralisia infantil.

O Brasil ainda não atingiu a meta de imunização em 2022.

Vamos começar AGORA a reconstrução do país como referência mundial na vacinação.

Tenham consciência. VACINEM as CRIANÇAS!",1602988688551682048,Twitter for Android,2022-12-14T11:27:40.000Z,['1602988688551682048'],1602988688551682048,pt,1245441853740191753,16,0,46,0,,,,,,
6385,everyone,"A maior guerra da sala de vacina é não deixar a criançada da chute no jaleco, ou mancha que não sai",1602988664795144193,Twitter for iPhone,2022-12-14T11:27:34.000Z,['1602988664795144193'],1602988664795144193,pt,1185665272394452996,0,0,0,0,,,,,,
6386,everyone,RT @LulaOficial: O dia de hoje é de agradecimento para quem fez o melhor para examinar o estado atual do nosso país. Acho que teremos uma r…,1602988658709127168,Twitter for Android,2022-12-14T11:27:32.000Z,['1602988658709127168'],1602988658709127168,pt,2813978450,706,0,0,0,,,,,retweeted,1602737786242605059
6387,mentionedUsers,"RT @minsaude: Faça como o Gabigol: para ser um campeão é preciso proteção. Pais ou responsáveis, levem seus filhos para vacinar contra a po…",1602988627214172160,Twitter for iPhone,2022-12-14T11:27:25.000Z,['1602988627214172160'],1602988627214172160,pt,1544826811510657024,3330,0,0,0,,,,,retweeted,1597676155414642688
6388,everyone,tomei vacina to cheio de dor,1602988626031296512,Twitter for Android,2022-12-14T11:27:25.000Z,['1602988626031296512'],1602988626031296512,pt,1569401546382753794,0,0,0,0,,,,,,
6389,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602988625628909568,Twitter for iPhone,2022-12-14T11:27:25.000Z,['1602988625628909568'],1602988625628909568,pt,1035718705982922752,1368,0,0,0,,,,,retweeted,1602720475389517824
6390,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602988568200241152,Twitter for Android,2022-12-14T11:27:11.000Z,['1602988568200241152'],1602988568200241152,pt,1274790350658441220,2000,0,0,0,,,,,retweeted,1602788250367758337
6391,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602988501540245508,Twitter for Android,2022-12-14T11:26:55.000Z,['1602988501540245508'],1602988501540245508,pt,1584991833238765579,1368,0,0,0,,,,,retweeted,1602720475389517824
6392,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602988494376341504,Twitter for iPhone,2022-12-14T11:26:53.000Z,['1602988494376341504'],1602988494376341504,pt,1186715764805505025,2000,0,0,0,,,,,retweeted,1602788250367758337
6393,everyone,"@FagaReinaldo @Davitome_4 @MariaAn69535014 @heyleonardo96 @LulaOficial Mano vai se tratar vc n sabe o q metodologia de pesquisa científica, nao sabe o q é efeito coletivo de vacinação, não sabe porra nenhuma é que se achar o inteligente. Tu é so um bolsominion, tu n por link pq tuas fontes sao uma merda https://t.co/3Z72cOQzTz",1602988358334308352,Twitter for iPhone,2022-12-14T11:26:21.000Z,['1602988358334308352'],1600200343475716096,pt,721044205871763462,0,0,0,0,1107483420580548610,,,,replied_to,1602987562129362946
6394,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602988343536541699,Twitter for Android,2022-12-14T11:26:17.000Z,['1602988343536541699'],1602988343536541699,pt,431193489,2000,0,0,0,,,,,retweeted,1602788250367758337
6395,everyone,"tomei a vacina ontem,acordei gripado e com o braço doendo",1602988289262321664,Twitter for iPhone,2022-12-14T11:26:04.000Z,['1602988289262321664'],1602988289262321664,pt,1421991334550855681,0,0,0,0,,,,,,
6396,everyone,Coração na mão de leva a Yasmin pra toma essa vacina de 4 meses 🥺🥺,1602988287832248320,Twitter for Android,2022-12-14T11:26:04.000Z,['1602988287832248320'],1602988287832248320,pt,4211654374,0,0,0,0,,,,,,
6397,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602988270723502083,Twitter for Android,2022-12-14T11:26:00.000Z,['1602988270723502083'],1602988270723502083,pt,423070544,1368,0,0,0,,,,,retweeted,1602720475389517824
