,tweet,tipo
14241,@mpatriabrasil @KennyProcopio1 Quantas vacina da peste Chinesa ele tinha?,replied_to
12772,"@BolsonarosFatos Vacina é paliativo, arma resolve.",replied_to
1021,"Um fato para você confia cegamente em v4cinas
https://t.co/vfjdyInDsn",
14342,@RdGuaibaOficial Toma vacina e morre. Pelo menos não pegou covid,replied_to
14429,"@napmengo @mottamarcos Nenhum país foi afetado como o Brasil, com direito a um governo que negligenciou vacina, máscara, isolamento social e um presidente que ironizou vítimas da doença.",replied_to
660,"@profpaulamarisa A vacina matam as pessoas e os humanos artificiais tomarão seu lugar : sem reclamações, sem protestos , sem pagamentos e nem férias ou décimo terceiro salários e sem nenhum tipo de  incômodos . Os tolos constroem suas próprias ruinas .",replied_to
13477,44. Pessoas anti vacina,replied_to
3971,"@APONTADOFIO @joicehasselmann Ministro da saúde.
Eduardo Pazuello.
Afastado por corrupção.
US$ 1,00 por dose da vacina Covid.",replied_to
508,"A última ação da Força-tarefa de Multivacinação: quem ama, vacina! será neste sábado (17), na Cidade da Criança Zilda Arns! 😉

Serão disponibilizadas todas as vacinas do calendário básico de rotina e contra a Covid-19. https://t.co/IW9jDUE8La",
2033,"@RubensNunesMBL Tinha que ser impedido antes pq o que a COVID não fez ele vai fazer!! Destruir o país!! Nem entrou e já fez as Estatais e a bolsa perderem meio trilhão de reais!! Não tem vacina e nem máscara, e pelo jeito nem justiça para esse mal!",replied_to
5094,"@AndreJanonesAdv Janones a esquerda tem que ter programas na tv aberta, comprar horários em todos os canais pra fazer o contraponto das fake News olavista Terra planista, charlatão, antivacina, anticiencia, anticristão, apátrida, facinazista da extrema direita escravagista desumana.",replied_to
3266,"💉 Covid ainda é emergência global e vacinação é indispensável

➡️ Saiba mais: https://t.co/a9kzSor4hv

#UFMT #MatoGrosso #covid #saude #publica #OMS #vacina https://t.co/oDObg7Ige8",
8330,Se tomar vacina é quase morrer https://t.co/m5CMFODe69,quoted
1896,"@SeergioMotta97 @ECindral @Felippe79913906 @filipesabara @nilmoretto Quem matou foi o vírus.. Vacina não ajuda em poha nenhuma. Na moral, vtnc...",replied_to
5658,@Rhabiba @LOUFLORIPA Diz que a invermectina melhoras as reações da vacina tbm,replied_to
13658,"@vanessnnavarro Você ainda não entendeu?
O ladrão e assassino vai descer a rampa!
É! Aquele que mandou matar 700 mil pessoas de Covid e queria um dólar de propina por dose de vacina, lembra?",replied_to
5548,"No Brasil tão religioso deveria haver uma santa chamada SUS venerada em cada posto de saúde, com a hóstia da vacinação em dia, com louvores de gratidão diária,  seus obreiros de branco sendo homenageados em nome de Deus! Ouvi um amém igreja? https://t.co/813zWvXSCz",
3597,"@RubensNunesMBL O sujeito que você apoia cometeu dezenas de crimes, foi contra a vacinação da população, comprou o Congresso para não ser deposto, levou o país da 6° posição entre as maiores economias do Mundo para a 13°. Torrou R$400 bilhões dos cofres públicos e saiu derrotado da eleição.",replied_to
8585,"@wduartefragoso @g_vgouvea A pandemia é sem perdão. Espero que esse assassino seja julgado em Haia. Perdi um ex namorado  de 29 anos, atleta, morreu  sem vaga na  uti por causa desse pulha negacionista  q nao comprou vacina. Nunca vou esquecer. Foi no dia do nao sou coveiro.",replied_to
4321,Manu tomou a vacina e nem chorou,
5337,"@CAgualusa Doutor, fui no clínico para tentar agendar uma ida no gastro. Relatei o que estava sentindo e ele me perguntou se eu estava com a carteira vacinal completa (disse que sim, já que essa porcaria aí não é vacina).",replied_to
15311,@oliverborba @OrlandoCripto @Rconstantino Por falta de vacina eu sei que não foi. O Brasil foi um dos primeiros a vacinar no mundo.,replied_to
14731,SÃO LEOPOLDO | Unidade Móvel oferecerá aplicação das doses no evento realizado na Praça da Biblioteca ⤵ https://t.co/3PPO5Cay0C,
9514,Tirando a parte da vacina hj foi mt bom ficar com ele e dps pintar 🥰,
8988,Não duvido nada a abby ameaçar a ellie de morte caso ela queira ser a vacina,
13914,@PazuelloGeneral Já tomou vacina general da banda?,replied_to
15363,"@LulaOficial Porra de não combateu, queria comprar vacina que não tinha aprovação ? Deixaram os governadores ter poder mais q o presidente, bando de gente que não deveria estar no poder, o povo vai se libertar desse tipo de gente.",replied_to
1728,Porque será que o foicebook bloqueia essa post.....eu nunca acreditei na vacina. https://t.co/DNvL67mlzr,
8100,@keka1007 @GuilhermeGodot @randolfeap Toda vacina tem sua bula para que voce entenda o que está tomando,replied_to
6033,"Vou dizer uma coisa pra vc ein, ainda bem que pra fazer matrícula as escolas tão pedindo pra atualizar a carteirinha de vacinação das crianças especialmente esse ano, dps de tanto caos nesse país e de tanta propaganda antivac",
8701,"@BelPaesz TENHA COVID

juro so senti sintomas por 1 dia o resto foi uma blz é como se eu nem estivesse unico problema é o isolamento e a culpa de passar pras otras pessoas 

que dlc n ir pra aula juro obrigada medicos pela vacina",replied_to
10374,"@TMartelete @KitanoMito eu não sou petista não! E nem muito menos votei em lula ! Agora só sou consciente, quem tá la em cima, nunca vai ligar pra gente, e Bolsonaro foi o PIOR deles, quando ele disse que não era coveiro logo após a minha vó falecer de COVID pelo atrasos da vacina",replied_to
9227,@rdgglch @NonaConta_ @monepatriota @carolbyme @floresdepapel6 @GrazielaPoli @RTdaFlaTT @cris_direitaRJ @renatobarrosbr Foi isso que usaram pra forçar  vacinação !!,replied_to
4821,@JackSlaterPT Centros de rastreios e de vacinação é onde se leva Cobicho! Por isso nunca lá pus os pés! Eles é que espalharam a doença!,replied_to
10827,@AredesMarli @delucca Bolsonarismo também tem vacina! CADEIA E TACA  os dois juntos !!,replied_to
13276,"Além dos imunizantes das ações ativas, são ofertadas também as vacinas do Programa Nacional de Imunização (PNI), que constam no calendário de rotina #PortalCorreio

https://t.co/Hej0Npenjl",
8617,"@rosmalach @lucinhalevita Como argumentar com alguém que até hoje ainda acredita em vacina de Covid, depois de tudo q elas já causaram no mundo???!!! Não há o que falar.",replied_to
4070,"quem não tomou a terceira dose da vacina, tomem gente, sério…",
10241,"@tonyogp @murilocarneiro @claudioedantas Esse teu LUTO é por causa dos milhares de brasileiros mortos por falta de vacina? Ou é pq teu macho foi DERROTADO pela democracia? 

Aposto 1 dólar de cada brasileiro morto q é a segunda opção.",replied_to
9072,"Vou fazer uma vaquinha pra custear, vacinação&amp;castração do porqueirinha, se eu conseguir fico com ele pq ração é o de menos",
3992,"@zedeky10 @KimKataguiri 5- Sancionou a emenda do Freixo Juíz de garantías

6- Sancionou o aumento do fundão eleitoral para mais de 6 BI 

7- Mandou o projeto do orçamento secreto para o congresso votar e assinou

8- Negou a compra de vacina por causa de um briga estúpida com o dória +",replied_to
523,Hoje vou ver se consigo tomar a vacina contra tétano. Tô morrendo de medo,
12491,@Eliana1802 @LucianoCastelo7 @Castrado_1 @CentralEleicoes vc usa máscara? então a vacina não funciona?,replied_to
491,"Odeio ver o Anthony tomando vacina aff, choro juntinho",
14491,"@bollemdb Lembrando que o PP de Lira é RIcardo Barros foram os protagonistas do caso de corrupção da Covaxin! 1 dólar por vacina enquanto milhares morriam, sem contar os outros esquemas! #foraLira #ForaRicardoBarros",replied_to
12394,"Eu descendo o pau em quem não  acredita em vacina na aula
Professor: eu não acredito 
Eu: pois fique sabendo q acho um absurdo pior ainda 
Podia ter formulado melhor? Podia, a conexão pensamento-boca foi mais rápida",
8955,quinta eu tenho exame periódico no trabalho ai tava falando renovar minha vacina antitetânica e a última dose do covid... tomei as duas p me livrar logo e to aqui q não consigo mexer os braços de tanta dor 🤡,
11659,"@Raasoares1 @_Sisifo @mamollica Lockdowns, obrigatoriedade de máscara e vacina só foram possibilitados pela lei 14.979 assinada pelo presidente do Brasil.",replied_to
8693,"@EliasSallesMD @g1 Vou responder,mas eu sei que é só um perfil fake,tu lembra quando o celular foi inventado?a tecnologia era lenta e até ineficiente, hoje se constrói um celular a cada momento, porque a vacina não acompanhou o desenvolvimento?",replied_to
