,tweet,tipo
9724,@revistaoeste O lucro vai todo pra países realizarem abortos massivos ou vacina da morte.,replied_to
1061,"Graças a vacina eu não morri de covid, cheguei perto mas não morri 🙏🏻",
4781,"Nossa véi, que vacina foi essa?",
8015,"não entra na minha cabeça que a vacina hoje torna essa doença mt menor, que essa (e MUITAS outras mortes) poderia(m) ter sido evitada(s) se tivessem liberado a porra da vacina antes",replied_to
250,"Fechada há mais de um ano, a única fábrica no país que produz a vacina contra a tuberculose vai permanecer interditada após nova vistoria da Anvisa. Enquanto isso, o Brasil continua precisando importar doses da BCG. Confira: https://t.co/y9JMbPhECP #JH",
6314,@LulaOficial Da vacina dos meus filhos preocupo eu. E enquanto vacinas tiverem em teste eles não tomarão.,replied_to
7062,"@monark Talvez vc tenha ficado fora , nos últimos 4 anos . Teve Ministro da Saúde contra a vacina , uso de máscaras e medidas sanitárias . A batata inglesa , chegou a R$ 10,00. Bem vindo de volta ao País !",replied_to
11659,"@Raasoares1 @_Sisifo @mamollica Lockdowns, obrigatoriedade de máscara e vacina só foram possibilitados pela lei 14.979 assinada pelo presidente do Brasil.",replied_to
4739,"o coitado de jasper derrubado pela vacina, nem andar o pobi consegue",
15204,"@JoelPinheiro85 Sabe o mercado que não liga pra golpe, falta de vacina, passar boiada, que nem oscilou com a damares e o farias? 
Ah, também não tô falando com ele não. Ele tá no cantinho do pensamento. Ninguém fala do dindin chegando do exterior. 
Os gringos apostam no novo governo.",replied_to
849,"@JaneteS24877617 @UOLNoticias Cartão de vacinação? Nada!! Saber das visitas dos Pastores corruptos do MEC, o
Processo de rachadinha do 01 e processo do Pazzuelo (só exemplo). Humilhar? Uma pessoa que vive de informação de ZAP, vai humilhar quem?",replied_to
587,mona as pessoas estão LUNATICAS minha avo conseguiu juntar Xandao com PCC chip da vacina venezuela e facada do bolsonaro em menos de 10 seg,
9997,"@Denishow233 @MariaCndidaGue3 @taoquei1 No início, fiquei quieto até ver que ele, depois de tomar uma recusada do STF sobre tirar o Carnaval por conta da pandemi, começou a cagar pra pandemia e 700 mil pessoas morreram nesse processo, processo de desacreditar vacina, máscara e m falando nada sobre aglomeração.",replied_to
6616,"@mellziland Melhoras Mell. Na 4 feira passada me curei na covid 2, que nada teve a ver com a 1, em janeiro. Tomei todas as doses de vacina. E mesmo assim, não foi fácil desta vez. A pior dor de garganta da vida. Minha esposa tb se curou e teve sintomas mais fortes que eu. Máscara e vacina!!",replied_to
14938,"Um ano já com vacina e cheio de sequelas da pandemia.

Chegamos ao fim com uma mala pesada e muita impaciência para virar logo a página e se abrir ao novo que desponta no horizonte, porém que ainda não chegou.
+ https://t.co/hYLQbahT2Z",replied_to
9464,@warnettn tinha uma menina na tml agr falando que quer tomar vacina vcs são iguais,replied_to
2629,Quem não quer tomar vacina quer morrer deixa quem não quer tomar morrer https://t.co/7KUyu3yvXp,quoted
8493,Combo costela fraturada e reação da vacina: ódio.,
11146,minha mãe vai fazer eu ir SOZINHA tomar vacina,
4272,"@GloboNews @erickbang1 @betepacheco_ @jairbolsonaro @DamaresAlves dizem que preservam e valorizam a vida e deixam as crianças morrerem por falta de vacina e nada falam. Se você @DamaresAlves acredita de verdade em Deus, sua mão forte cairá sobre você mas duvido que você com seu comportamento acredite mesmo em Deus",replied_to
10827,@AredesMarli @delucca Bolsonarismo também tem vacina! CADEIA E TACA  os dois juntos !!,replied_to
1244,"@L3itadas_l03n_ Brincadeiras à parte; pessoal, eles estão  sendo obrigadas, e acreditam q se trata de vacinação  como outras qualquer.  Estão  sendo enganados.",replied_to
6544,"2 meses de vida do meu amor e dia de tomar vacina, eu já chorei só de ver foto dele esperando, prazer tia babona",
9218,"@Tiagolattari @o_antagonista Os valores do “Teto” pagaram as dívidas de todos os Estados mal governados pela esquerda, que não prestaram conta do dinheiro. Sobre a vacina, começamos a vacinar 30 dias depois da primeira vacina ser aplicada no mundo.",replied_to
6667,"@oantonlojr @DuquesaDetax Sem contar que tivemos uma das piores atuações no controle e combate a pandemia. Não faz o menor sentido um país com um sistema de saúde do tamanho do SUS e um povo que sempre aderiu à campanhas de vacinação, estar com quase 700mil mortos de covid, é inadimissível.",replied_to
14429,"@napmengo @mottamarcos Nenhum país foi afetado como o Brasil, com direito a um governo que negligenciou vacina, máscara, isolamento social e um presidente que ironizou vítimas da doença.",replied_to
4186,"essa boskovic muito amostrada, certeza que só ta jogando assim porque sabe que o time do praia tomou todas as doses da vacina!!!",
591,"@dr_nesio @senadorhumberto @CCBB_DF @LulaOficial @geraldoalckmin @ConassOficial Parabéns pelo trabalho!!! Queremos Zé Gotinha! Queremos PNI de verdade! Queremos o @minsaude nas mãos de quem luta pela ciência! Queremos as 3 doses de vacina contra a Covid para todas as crianças, de 6 meses a 11 anos!!! @vacinapedcovid",replied_to
9415,Estudo indica que as crianças nascidas de parto normal produzem mais anticorpos após a vacinação. #megacurioso  https://t.co/2oTxTX1rFy,
10491,"Por isso não queria tomar essa vacina FDP,sabia q ia ficar passando mal😤",
10951,Salvador realiza vacinação contra a covid-19 nesta quinta-feira (15) https://t.co/BJYCB3KYKi,
8594,"@rosmalach @lucinhalevita Nossa até hoje essa petralhada ainda está nesse mesmo assunto de vacina !!!
Arruma outra essa aí não dá mais !",replied_to
3781,"Sabe a Lei nº 13.979/20? Aquela, que disseram que foi revogada pelos Supremos e que estabelecia vacinação obrigatória, lockdown e todo tipo de autoritarismo? E que diziam que Bolsonaro não precisava revogar? Então... esta lei será usada CONTRA TODOS NÓS no ano que vem.",
5735,"@LucasLeiva87 VIVA A VACINA!!!!! 👏👏👏👏👏👏👏👏👏👏👏👏. Pode ter destruído sua carreira e matado muita gente com esse VENENO que injetou em você mesmo.

Peço a Deus que se recupere e sobreviva a esse mal que se auto infligido https://t.co/aKlHCMUNhl",replied_to
10759,cancelaram a vacinação na ufu sempre fui triste,
13417,* diziam *  não à vacina.,replied_to
670,"Evolução, iníciodos tempos, fim dos tempos, vacina, extraterrestre, BBB e cultura pop em geral: esses são os assuntos que mais me dão preguiça e eu considero insuportável todo mundo que fala disso.",
2840,@kimpaim @EDERSON70039945 E tome vacina!,replied_to
9702,@pmarcelo1972 @MonicaFe1972 Meu amigo Rogério teve dois apagão no segundo ele caiu bateu o rosto na mesa quebrou o nariz está tomando remédio vasodilatador problema de trombose não sabe se foi  covid que ele teve começo de 21 ou por causa das três doses da vacina 🧐🤔,replied_to
40,Governador da Flórida convoca um grande júri pra investigar irregularidades na vacina para COVID. https://t.co/OrG6QODluD,quoted
276,"Fechada há mais de um ano, a única fábrica no país que produz a vacina contra a tuberculose vai permanecer interditada após nova vistoria da Anvisa. Enquanto isso, o Brasil continua precisando importar doses da BCG. Confira: https://t.co/IwAUjOPR14 #JH",
9534,@GuilhermeBoulos Vacina mal testada que deixou amigo meu sem andar por conta de trombose... Vcs são uma lástima,replied_to
13325,"@MaildeRodovalho @murilocarneiro @claudioedantas Vacina não é cura, é para AMENIZAR os sintomas e necessidade de internação.

Estude. 
Faz bem.",replied_to
11218,@maythestarz Aquele dia da vacina... Deus deve ter ficado puto,replied_to
14196,Manaus alcança a marca de 5 milhões de doses aplicadas da vacina contra a Covid-19 https://t.co/lLWYvFLTBO,
6296,"@ciro_nogueira Que ato de má fé. Governo marcado por ações de vândalos. Marcaram marchas para os mesmos dias que faziam atos pró vacinação, provocavam e atacavam pessoas. Atos contra pessoas até pela vestimenta. Dizer que não houve só prova a má fé e falta de hombridade.",replied_to
11752,"Covid-19 matou uma criança por dia em 2022
Pesquisadores da Fiocruz levaram em conta o público entre seis meses e cinco anos, que poderia ter sobrevivido caso tivessem tomado a vacina.",
7482,"@rffinformatica @gutoaqui @AnaCarolPecanha @alinefortuna2 @seleno_glauber Até de quem lutou pela.vacina, como o caso do Dória. Ele conseguiu descredibilizar o Butantan quando p.exemplo divulgou aquela famigerada nota de que quem tomou a 1a. dose da Coronavac tinha ZERO chances de contágio e morte. Isso pra mim foi tão grave quanto (+)",replied_to
10089,"BOLETIM ATUALIZADO COVID19 BRASIL 
Fonte: Sec de Saúde dos Estados/Consórcio de imprensa
Data: 13/12
(Atualizado 20h45) 

N° de infectados: 35.697.377
N° de mortos: 691.174

Doses aplicadas da vacina: 474.270.444

Sendo 172.193.101 referentes ao ciclo de ( 2 doses ou dose única) https://t.co/Z1sLTEJ8Le",
1467,"Eu so queria não estar sentindo oq eu tô, meu Deusss que horrivel, to passando mal dms, calafrio, ovo de codorna no furo da vacina",
8906,"@_fcaldass pode dx, vacina no banheiro",replied_to
108,7)Aqui está a coisa: os autores acreditam que os médicos devem considerar aconselhar pacientes não vacinados sobre segurança no trânsito. Eles também acreditam que as seguradoras devem basear sua apólice nos dados de vacinação.,replied_to
11157,"@tonyogp @MamaBea29489666 @takatergm @murilocarneiro @claudioedantas Aff... Cuba desenvolveu sua própria vacina. Vacinou maciçamente a população. Me pergunto em que momento regredimos tanto pra questionar a vacinação a ponto de doenças, até então erradicadas, reapareceram.",replied_to
7002,"A Reação da Vacina humilha né 😂
Tô aqui com febre, com mexer o braço e com dor no corpo todo. Não vou nem ir trabalhar! 
Mas pelo menos quando peguei covid não morri e se eu pegar de novo, tbm não vou.",
3892,odeio tomar vacina,
106,"tomei a 4ª dose da vacina de covid agorinha, finalmente imunizada com coronavac",
904,O público alvo das campanhas de vacinação são os com QI abaixo de 50 https://t.co/Ryf2n8FtnN,quoted
11465,"@DaAcervo Surreal, uma pandemia que teria que ser considerada extinta se tivéssemos resguardado os vulneráveis e tratamento precoce com ivermectina, porém, os defensores da SIËNÇIA e os mal intencionados impõem uma vacina que será o flagelo da humanidade a médio e longo prazo",replied_to
13516,"@UOL Se pode tomar vacina, receber auxilio, cuidado médico, documentos e proteção (também pode tomar uma cadeia)",replied_to
3509,"Fui tomar vacina e aquela mulher deve ter agarrado um ódio meu q pqp

NUNCA doeu tanto (isso q eu até gosto de tomar vacina/tirar sangue pela dorzinha)",
3059,"@Rconstantino A mediocridade de trumpistas e bolsonaristas não tem fim. Sempre há espaço para mais mediocridades. O fato de a vacina ser responsável pela cessação das milhares de mortes diárias, ou de que as mortes recentes são de não vacinados ou vacinados incompletos, não basta. Fazer o que?",replied_to
9496,"@thiagomotaadv Nunca ameaçou golpe, quando perdeu reconheceu a derrota, foi preso e não incitou golpe, comprou vacina. A diferença entre esquerda e extrema-direita é grande.",replied_to
13557,"@niaboktruk @Euhardman75 @BeolchiLuis @ThiagoSussekind Se está falando de mim, saiba que tomei 3 doses de vacina contra covid, mas estou acompanhando a eficácia, coisa que todos deveriam fazer. Não sou contra vacinas, tomo vacinas regularmente, até aquelas que ninguém toma, contra tifo, tétano, febre amarela...",replied_to
5944,"@KageJohnJK @oscasosraros @GFiuza_Oficial @jordanbpeterson Eu diria q a maioria é omissa e passiva. Mas hj em dia com tanta informação, não aventar a possibilidade de ligação de qq efeito adverso, bem como recomendar vacinação a quem tem risco beira à imperícia. Isto é, recomendar ou tratar sem o conhecimento adequado da doença.",replied_to
15071,"@timoteo_rcm @Lquepassa Vc só fortalece o que eu disse. 
Seu presidente comandava o país com a 6a maior população do planeta e o entregou como o 2o pais do mundo com mais mortes de covid.
Ele fez campanha pra cloroquina q n era comprovada e atrasou a vacina.
Qm votou no Lula tá tá criticando ele? Otimo! https://t.co/EnPRrLrxEF",replied_to
9831,@frnndll Que ódio da Fiocruz que não cria uma vacina antiwebamor,replied_to
3415,"@frederikcardoso @jionajoy @Marius_Goncalve @folha Colega, os militares permitiram propina em barras de ouro no MEC, falaram em propina pra comprar vacina, permitiram 39 kg no avião da FAB. Eles não estão tão distantes dos supostos ladrões q vc condena",replied_to
10767,@Wago40479547 @IngridVidLim @taoquei1 Mas a vacina da covid é boa. Já foi testada várias vezes e confirmada que é segura,replied_to
173,"Tomei vacina hj nos DOIS BRAÇOS, parece que eu tomei uma paulada na parte de cima do corpo",
15133,pqp tomei vacina nos dois braços e preciso finalizar meu cabelo 😭😭,
2002,"Tory MP alega encobrimento da vacina contra a covid que inflama as artérias do coração na alegação de Bombshell’ 
Minha mãe começou a fizer tratamento do coração ontem, o problema que ela já tinha piorou  muito 💉💉. https://t.co/etSyhf6Fc4",quoted
6989,Vou tomar vacina tchau!,
6395,"tomei a vacina ontem,acordei gripado e com o braço doendo",
2368,Eu não fui trabalhar hoje porque tô com reação da vacina. Não consigo mexer o braço e minha cabeça vai explodir,
1270,"@BahiaNoticias ""Detalhe"": em janeiro de 2021 começaram a ser aplicadas as ""vacinas COVID-19"" no Brasil...
Mas estamos vendo ultimamente um tipo de ""ciência"" estranha que desconsidera, prévia e automaticamente, o fator ""vacina"", na hora de se ""investigar"" as causas...
https://t.co/KLAJQFoJLd",quoted
4403,"@zlyexawfvaur @TheLastOfUsBR Talvez o pai da abby fosse o único capaz de fazer a vacina entre os vagalumes, vai que tenha outro médico em alguma outra facção ou grupo?",replied_to
1027,"@L3itadas_l03n_ @DouglasGarcia Tome mais dose, a vacina salva.",replied_to
9155,@TransBbb @fatimamfgsilva os caras são contra vacina mas fazem uma máscara com a foto do bolsonaro 😂😂😂😂 é muito amor envolvido,replied_to
8319,"Tomei a vacina ontem, hj eu tô num mal estar que só Deus",
14861,A vacina bateu,
8413,"usando meu lindo termômetro rosa q comprei pro estágio pra medir a minha febre pós vacina
não, eu não cheguei a usar ele no estágio!!!!!!!!!",
9306,@mellziland Como ter certeza se a cepa é infinitamente menos gravosa? Como saber que esta bem pela vacina e não pelo decurso natural da doença? Lembrando que ja foi comprovado que a vacina depois de algumas semanas não oferece mais efeitos imunológicos.,replied_to
9958,@mqueiroga2 @GeneralMourao Por afundar as crianças que tomam vacina?,replied_to
7970,"eu só comecei usar meu oculos direito qnd gravei o dia que tomei vacina, a moça pediu pra eu conferir a seringa e eu saí no vídeo arregalando o olho pra enxergar https://t.co/kQAYEFV8ut",quoted
3582,Equipe de Epidemiologia de Belford Roxo reforça vacinação de sarampo https://t.co/weSXELIapq,
14845,Vocês tiveram reação com a 4ª dose da vacina ?,
5788,@RcDetailer @monark Eu q lhe pergunto isso? Vc viu a pandemia? Vc viu o Mec? Vc viu a farmácia.popular? Vc viu o sigilo? Vc viu a compra da vacina indiana? Vc viu q simplesmente só um otario acredita que esse governo n é corrupto?,replied_to
10001,@Jouberth19 E o Bolsonaro e a rachadinha? E a corrupção no MEC ? E corrupção da vacina? E o PL e o Valdemar? E o Viagra ? E as prótese penian@ ? E os funcionários fantasma 👻? E a COCAIN@ no aviao do Bolsonaro 🤥?,replied_to
12955,@murilocarneiro @claudioedantas Ainda insistem nessa narrativa de que atraso de vacina matou as pessoas mesmo vendo muitos continuarem morrendo mesmo vacinados…má fé ou ignorância?,replied_to
10739,@JovemPanNews Mas ainda essa palhaçada de vacina e remédio caro ?? A indústria farmacêutica da bandidagem com um super remédio que não serve pra nada ... Ahh vcs estão indo de ladeira abaixo né junto com o consórcio,replied_to
2066,"@Elaine_tuti @ciralima34 @joicehasselmann Da imunidade de rebanho, que é estratégia eugenicista e nazi pra limpar os mais frágeis da sociedade. Quase todos pegamos covid, e ainda continuamos pegando e morrendo - menos, graças à vacina. Eu não tenho que provar nada, a lei garantirá isso em breve. Bozo será preso. Amém.",replied_to
11141,"Nenhuma pessoa deve ficar sem vacinação,  cuidar da saúde é essencial para salvar vidas. #sp2",
11873,"@JanainaDoBrasil Muito antipetista votou em Lula pq acreditou que Bolsonaro falhou na pandemia. Na verdade, errou no marketing, comprou vacina, defendeu tratamento precoce, corajosamente contrário aos interesses da bigfarma, foi vencido pela mídia, pelo STF. E você tão inteligente não percebeu.",replied_to
6000,"@Jgg2882 @leandroruschel @mpatriabrasil Mas com uma população de 217.000.000 brasileiros, e segundo vc 1200 brasileiros com efeitos colaterais...qual a porcentagem? Todo medicamento, toda vacina, tem efeito colateral. Mas isso não pode servir de base para dizer que as vacinas não são eficazes, não diga isso.",replied_to
2808,A coordenadora reforça ainda que no momento estão disponíveis apenas vagas para segunda dose  https://t.co/TGdYkibzIq #teresina #criancas #vacina #covid #agendamento,
9889,Eu aos 6 anos quando fui tomar vacina e vi q era agulha https://t.co/wT4LxrTcIO,quoted
4994,"Hoje chegou uma paciente tentando explicar algo sobre nao poder tomar a vacina, mas ela nao se comunicava bem em ingles. Percebi que ela era portuguesa e falei com ela em portugues. 
A Paciente: Eu quero uma carta do medico dizendo que nao posso levar a pica 
... 
pica= injecao",
6244,"@GeracaodeValor quando seu presidente comprava cloroquina com dinheiro do SUS, mentia sobre máscaras e vacina e ria da cara dos milhares de mortes diárias, vc não falou nada sobre ""péssimo sinal""

é um dissimulado hipnotizado por um psicopata, vai ser dissimulado assim em miami",replied_to
7412,@ElevaBrasilES Ainda vai instalar obrigação de vacina pra matar o povo mais rápido. O povo tem que acordar.. pelo amor de Deus.,replied_to
8879,tomei a quarta dose da vacina hoje e tô morrendo de sono,
606,"@WoodThereLake Olha…aqui sigo com o mesmo pediatra há 5 anos, meus 2 meninos passam com ele e ele é SUPER desatualizado em IA, mas é a favor de amamentação, não taca fórmula sem necessidade, pro vacina, pro ciência, não mete remédio em tudo, enfim…um pedi meio difícil de achar pelo convênio +",replied_to
7071,"herpes e o hiv andam muito juntas, todo site que você entra você lê herpes e a porta de entrada para hiv, eu espero que você lute por nós também pois também não temos vacina nem uma cura e se quer um tratamento",
14134,eu pareço uma mãe babona preenchendo a carteira de vacinação da minha cachorrinha 🥹🥹,
8346,"@ronin19217435 Jenner foi uma membro da  Friendship LOJA No. 270 em Berkeley, Inglaterra ( ibid, p. 235).  Jenner diz claramente que ter uma vez a doença não faz uma pessoa imune. Nenhuma vacina previne. Ainda assim ele defendeu algo este que foi totalmente antinatural e altamente perigoso.",replied_to
4321,Manu tomou a vacina e nem chorou,
7825,"Candidato a vacina contra a dengue da Takeda recebe revisão prioritária do USFDA
https://t.co/JkIXK5BQGf",
